llama-server, endpoint=completion thinking=n/a (no template) contexts=1 pause=60s
start: wired 23582 MB, free 64 MB, swap used 416 MB
context	depth_tokens	decode_toks	wired_mb	free_mb	swap_delta_mb	compress_pages	decompress_pages	step_seconds
A	4114	52.46	23776	113	0	0	5	7
A	8222	50.34	23774	62	0	0	30	8
A	16386	47.99	23903	104	0	0	3621	17
A	24602	43.95	23915	65	0	0	358	21
A	32818	41.89	23913	59	0	0	174	26
A	40982	39.30	23908	68	0	0	248	30
A	49198	36.89	23907	62	0	0	102	34
A	65578	33.51	23906	81	0	0	477	79
A	81958	30.27	23925	59	0	0	1123	95
A	98338	27.78	23923	56	0	0	326	111
A	114718	25.71	23906	66	0	0	63	128
A	131098	23.89	23922	68	0	7161	1644	145
A	163858	21.03	23929	83	0	6375	5270	336
A	196618	18.57	23915	64	0	79384	2860	402
no ceiling found up to 196608
