0.00.079.559 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.079.746 W srv  llama_server: -----------------
0.00.079.747 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.079.747 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.079.747 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.079.747 W srv  llama_server: -----------------
0.00.081.346 I srv    load_model: loading model 'bartowski/Qwen3.8-27B-GGUF:Q4_K_M'
0.08.541.731 I cmn          init: llama threadpool init, n_threads = 8
0.08.722.155 I common_speculative_init_result: creating MTP draft context against the target model '/Users/irae/.cache/huggingface/hub/models--bartowski--Qwen3.8-27B-GGUF/snapshots/f0eec4a4bb4975114a030d048952d83c0a53c034/Qwen3.8-27B-Q4_K_M.gguf'
0.08.949.023 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 49152, kv_unified = 'false'
0.08.982.863 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.08.982.872 I srv  llama_server: model loaded
0.08.982.874 I srv  llama_server: listening on http://127.0.0.1:8081
1.50.162.321 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.50.162.344 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.56.954.213 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  18.41 t/s, tg_3s =  18.59 t/s
1.57.146.722 I slot print_timing: id  0 | task 0 | prompt eval time =    1358.68 ms /    99 tokens (   13.72 ms per token,    72.86 tokens per second)
1.57.146.725 I slot print_timing: id  0 | task 0 |        eval time =    5625.61 ms /   103 tokens (   55.15 ms per token,    18.13 tokens per second)
1.57.146.726 I slot print_timing: id  0 | task 0 |       total time =    6984.30 ms /   202 tokens
1.57.146.726 I slot print_timing: id  0 | task 0 |    graphs reused =         29
1.57.146.729 I slot print_timing: id  0 | task 0 | draft acceptance = 0.86207 (   75 accepted /    87 generated), mean len =  3.59
1.57.146.763 I slot      release: id  0 | task 0 | stop processing: n_tokens = 203, truncated = 0
1.57.156.392 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.440 (> 0.100 thold), f_keep = 0.197
1.57.212.002 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
2.03.820.571 I slot print_timing: id  0 | task 33 | n_gen =    102, tg =  17.97 t/s, tg_3s =  18.15 t/s
2.06.140.489 I slot print_timing: id  0 | task 33 | prompt eval time =     987.25 ms /    77 tokens (   12.82 ms per token,    77.99 tokens per second)
2.06.140.493 I slot print_timing: id  0 | task 33 |        eval time =    7941.15 ms /   148 tokens (   54.02 ms per token,    18.51 tokens per second)
2.06.140.493 I slot print_timing: id  0 | task 33 |       total time =    8928.40 ms /   225 tokens
2.06.140.493 I slot print_timing: id  0 | task 33 |    graphs reused =         69
2.06.140.497 I slot print_timing: id  0 | task 33 | draft acceptance = 0.86179 (  106 accepted /   123 generated), mean len =  3.59
2.06.140.520 I slot      release: id  0 | task 33 | stop processing: n_tokens = 238, truncated = 0
2.06.143.648 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.328 (> 0.100 thold), f_keep = 0.168
2.06.202.009 I slot launch_slot_: id  0 | task 77 | processing task, is_child = 0
2.13.392.034 I slot print_timing: id  0 | task 77 | n_gen =    100, tg =  16.49 t/s, tg_3s =  16.66 t/s
2.16.492.924 I slot print_timing: id  0 | task 77 | n_gen =    163, tg =  17.79 t/s, tg_3s =  20.32 t/s
2.19.593.019 I slot print_timing: id  0 | task 77 | n_gen =    226, tg =  18.44 t/s, tg_3s =  20.32 t/s
2.22.695.480 I slot print_timing: id  0 | task 77 | n_gen =    276, tg =  17.97 t/s, tg_3s =  16.12 t/s
2.24.246.288 I slot print_timing: id  0 | task 77 | prompt eval time =    1185.96 ms /   108 tokens (   10.98 ms per token,    91.07 tokens per second)
2.24.246.291 I slot print_timing: id  0 | task 77 |        eval time =   16858.24 ms /   298 tokens (   56.76 ms per token,    17.62 tokens per second)
2.24.246.292 I slot print_timing: id  0 | task 77 |       total time =   18044.20 ms /   406 tokens
2.24.246.292 I slot print_timing: id  0 | task 77 |    graphs reused =        154
2.24.246.295 I slot print_timing: id  0 | task 77 | draft acceptance = 0.81226 (  212 accepted /   261 generated), mean len =  3.44
2.24.246.319 I slot      release: id  0 | task 77 | stop processing: n_tokens = 421, truncated = 0
2.24.253.720 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 32269476654
2.24.311.818 I slot launch_slot_: id  0 | task 167 | processing task, is_child = 0
2.33.189.568 I slot print_timing: id  0 | task 167 | n_gen =    100, tg =  18.85 t/s, tg_3s =  19.04 t/s
2.36.297.038 I slot print_timing: id  0 | task 167 | n_gen =    151, tg =  17.95 t/s, tg_3s =  16.41 t/s
2.39.401.041 I slot print_timing: id  0 | task 167 | n_gen =    198, tg =  17.19 t/s, tg_3s =  15.14 t/s
2.42.509.834 I slot print_timing: id  0 | task 167 | n_gen =    245, tg =  16.75 t/s, tg_3s =  15.12 t/s
2.45.617.421 I slot print_timing: id  0 | task 167 | n_gen =    291, tg =  16.40 t/s, tg_3s =  14.80 t/s
2.48.732.551 I slot print_timing: id  0 | task 167 | n_gen =    341, tg =  16.35 t/s, tg_3s =  16.05 t/s
2.51.848.068 I slot print_timing: id  0 | task 167 | n_gen =    398, tg =  16.60 t/s, tg_3s =  18.30 t/s
2.54.960.052 I slot print_timing: id  0 | task 167 | n_gen =    450, tg =  16.62 t/s, tg_3s =  16.71 t/s
2.58.073.701 I slot print_timing: id  0 | task 167 | n_gen =    496, tg =  16.43 t/s, tg_3s =  14.77 t/s
3.01.188.049 I slot print_timing: id  0 | task 167 | n_gen =    554, tg =  16.63 t/s, tg_3s =  18.62 t/s
3.04.307.394 I slot print_timing: id  0 | task 167 | n_gen =    603, tg =  16.55 t/s, tg_3s =  15.71 t/s
3.07.421.854 I slot print_timing: id  0 | task 167 | n_gen =    657, tg =  16.61 t/s, tg_3s =  17.34 t/s
3.10.538.704 I slot print_timing: id  0 | task 167 | n_gen =    717, tg =  16.81 t/s, tg_3s =  19.25 t/s
3.13.658.028 I slot print_timing: id  0 | task 167 | n_gen =    767, tg =  16.75 t/s, tg_3s =  16.03 t/s
3.16.779.656 I slot print_timing: id  0 | task 167 | n_gen =    816, tg =  16.69 t/s, tg_3s =  15.70 t/s
3.19.908.102 I slot print_timing: id  0 | task 167 | n_gen =    869, tg =  16.70 t/s, tg_3s =  16.94 t/s
3.23.031.837 I slot print_timing: id  0 | task 167 | n_gen =    917, tg =  16.63 t/s, tg_3s =  15.37 t/s
3.26.156.585 I slot print_timing: id  0 | task 167 | n_gen =    963, tg =  16.52 t/s, tg_3s =  14.72 t/s
3.29.283.526 I slot print_timing: id  0 | task 167 | n_gen =   1024, tg =  16.68 t/s, tg_3s =  19.51 t/s
