0.00.074.692 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.880 W srv  llama_server: -----------------
0.00.074.881 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.881 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.882 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.882 W srv  llama_server: -----------------
0.00.076.469 I srv    load_model: loading model 'ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF'
0.06.568.224 I cmn          init: llama threadpool init, n_threads = 8
0.06.911.459 I common_speculative_init_result: creating MTP draft context against the target model '/Users/irae/.cache/huggingface/hub/models--ISTA-DASLab--Qwen3.8-27B-GSQ-RCO-GGUF/snapshots/d562806dbafae37109975e970aae91b43e73b440/Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf'
0.07.223.016 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.07.288.293 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.07.288.301 I srv  llama_server: model loaded
0.07.288.304 I srv  llama_server: listening on http://127.0.0.1:8081
0.20.800.719 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.800.757 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.29.016.142 I slot print_timing: id  0 | task 0 | n_gen =    102, tg =  13.21 t/s, tg_3s =  13.34 t/s
0.32.213.603 I slot print_timing: id  0 | task 0 | n_gen =    146, tg =  13.37 t/s, tg_3s =  13.76 t/s
0.35.409.351 I slot print_timing: id  0 | task 0 | n_gen =    189, tg =  13.39 t/s, tg_3s =  13.46 t/s
0.38.603.118 I slot print_timing: id  0 | task 0 | n_gen =    225, tg =  13.00 t/s, tg_3s =  11.27 t/s
0.41.800.476 I slot print_timing: id  0 | task 0 | n_gen =    254, tg =  12.38 t/s, tg_3s =   9.07 t/s
0.44.995.566 I slot print_timing: id  0 | task 0 | n_gen =    296, tg =  12.49 t/s, tg_3s =  13.15 t/s
0.48.188.988 I slot print_timing: id  0 | task 0 | n_gen =    339, tg =  12.60 t/s, tg_3s =  13.47 t/s
0.51.388.361 I slot print_timing: id  0 | task 0 | n_gen =    382, tg =  12.69 t/s, tg_3s =  13.44 t/s
0.54.588.623 I slot print_timing: id  0 | task 0 | n_gen =    413, tg =  12.40 t/s, tg_3s =   9.69 t/s
0.57.791.127 I slot print_timing: id  0 | task 0 | n_gen =    451, tg =  12.36 t/s, tg_3s =  11.87 t/s
1.00.989.743 I slot print_timing: id  0 | task 0 | n_gen =    499, tg =  12.57 t/s, tg_3s =  15.01 t/s
1.04.194.823 I slot print_timing: id  0 | task 0 | n_gen =    547, tg =  12.75 t/s, tg_3s =  14.98 t/s
1.07.399.323 I slot print_timing: id  0 | task 0 | n_gen =    596, tg =  12.93 t/s, tg_3s =  15.29 t/s
1.10.598.849 I slot print_timing: id  0 | task 0 | n_gen =    648, tg =  13.14 t/s, tg_3s =  16.25 t/s
1.13.804.361 I slot print_timing: id  0 | task 0 | n_gen =    694, tg =  13.22 t/s, tg_3s =  14.35 t/s
1.17.012.613 I slot print_timing: id  0 | task 0 | n_gen =    738, tg =  13.25 t/s, tg_3s =  13.71 t/s
1.20.228.548 I slot print_timing: id  0 | task 0 | n_gen =    778, tg =  13.20 t/s, tg_3s =  12.44 t/s
1.23.432.507 I slot print_timing: id  0 | task 0 | n_gen =    816, tg =  13.13 t/s, tg_3s =  11.86 t/s
1.26.637.364 I slot print_timing: id  0 | task 0 | n_gen =    859, tg =  13.15 t/s, tg_3s =  13.42 t/s
1.29.841.469 I slot print_timing: id  0 | task 0 | n_gen =    907, tg =  13.23 t/s, tg_3s =  14.98 t/s
1.33.047.001 I slot print_timing: id  0 | task 0 | n_gen =    954, tg =  13.30 t/s, tg_3s =  14.66 t/s
1.36.254.250 I slot print_timing: id  0 | task 0 | n_gen =    998, tg =  13.31 t/s, tg_3s =  13.72 t/s
1.39.464.871 I slot print_timing: id  0 | task 0 | n_gen =   1049, tg =  13.42 t/s, tg_3s =  15.88 t/s
1.42.671.700 I slot print_timing: id  0 | task 0 | n_gen =   1099, tg =  13.51 t/s, tg_3s =  15.59 t/s
1.45.879.911 I slot print_timing: id  0 | task 0 | n_gen =   1146, tg =  13.55 t/s, tg_3s =  14.65 t/s
1.49.090.052 I slot print_timing: id  0 | task 0 | n_gen =   1191, tg =  13.57 t/s, tg_3s =  14.02 t/s
1.52.297.642 I slot print_timing: id  0 | task 0 | n_gen =   1239, tg =  13.62 t/s, tg_3s =  14.96 t/s
1.55.524.282 I slot print_timing: id  0 | task 0 | n_gen =   1289, tg =  13.68 t/s, tg_3s =  15.50 t/s
1.58.733.825 I slot print_timing: id  0 | task 0 | n_gen =   1341, tg =  13.76 t/s, tg_3s =  16.20 t/s
2.01.944.996 I slot print_timing: id  0 | task 0 | n_gen =   1390, tg =  13.81 t/s, tg_3s =  15.26 t/s
2.05.160.648 I slot print_timing: id  0 | task 0 | n_gen =   1440, tg =  13.86 t/s, tg_3s =  15.55 t/s
