Greedy decoding ON (--greedy): setting bs=1, n_samples=1, temperature=0
Initializing a decoder model: mlx-community/gemma-4-26b-a4b-it-4bit ...
Sanitized code outputs will be saved to /Users/irae/code/choose-a-local-llm/night3/results/gemma26-mlx/humaneval/mlx-community--gemma-4-26b-a4b-it-4bit_openai_temp_0.0.jsonl
Raw outputs will be saved to /Users/irae/code/choose-a-local-llm/night3/results/gemma26-mlx/humaneval/mlx-community--gemma-4-26b-a4b-it-4bit_openai_temp_0.0.raw.jsonl
Codegen: HumanEval/0 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/1 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/2 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/3 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/4 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/5 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/6 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/7 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/8 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/9 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/10 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/11 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/12 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/13 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/14 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/15 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/16 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/17 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/18 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/19 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/20 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/21 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
Codegen: HumanEval/22 @ mlx-community/gemma-4-26b-a4b-it-4bit (resuming from 1)
